address,price,price_per_sqm,rooms,floor,sqm,date,lot_sqm,housing_type,monthly_fee,build_year,starting_price,page
Exercisgatan 3,4900000,44100,4,4,111,2025-04-15,,Lägenhet,5258,1927,4995000,35
Övägen 6A,2850000,53800,2,2,53,2025-04-15,,Lägenhet,3892,2016,2995000,35
Allétorget 2,1560000,46600,1,3,33,2025-04-15,,Lägenhet,2875,2019,1595000,35
Branteviksgatan 10A,1050000,17500,2,2,60,2025-04-15,,Lägenhet,4229,1955,1125000,35
Ångfärjekajen 22,3800000,62300,3,3,61,2025-04-15,,Lägenhet,4522,2024,3995000,35
Tornfalksgatan 20,1550000,18600,3,3,83,2025-04-15,,Lägenhet,5952,1967,1550000,35
Saarisvägen 4B,1430000,24800,2,2,57,2025-04-15,,Lägenhet,3698,1942,1450000,35
Limhamnsgårdens Allé 30,2170000,39500,2,3,55,2025-04-15,,Lägenhet,3913,,2195000,35
Simrishamnsgatan 3D,1100000,35500,1,5,31,2025-04-15,,Lägenhet,3726,1935,1195000,35
Ellstorpsgatan 2B,1150000,21300,2,6,54,2025-04-14,,Lägenhet,5006,,1195000,36
Davidshallsgatan 5A,5650000,63500,3,3,89,2025-04-14,,Lägenhet,,,,36
Baltzarsgatan 14F,8200000,68000,4,8,120,2025-04-14,,Lägenhet,7226,2006,7650000,36
Torpgatan 23,6100000,31900,5,3,191,2025-04-14,,Lägenhet,7471,1897,5995000,36
Kronetorpsgatan 104B,1495000,20200,3,1,74,2025-04-14,,Lägenhet,5595,1964,1495000,36
Spånehusvägen 63A,1995000,38200,2,3,52,2025-04-14,,Lägenhet,4491,1938,1995000,36
Rådmansgatan 15F,1900000,45200,2,4,42,2025-04-14,,Lägenhet,3917,1945,1750000,36
Kronetorpsgatan 64A,1245000,19000,3,3,65,2025-04-14,,Lägenhet,4578,1961,1195000,36
Regementsgatan 23,5765000,52400,4,2,110,2025-04-14,,Lägenhet,7121,1937,5895000,36
Albinsrogatan 5B,1650000,40700,2,11,40,2025-04-14,,Lägenhet,3082,1965,1595000,36
Typografgatan 4B,3600000,44400,3,6,81,2025-04-14,,Lägenhet,5694,2018,3695000,36
Tornfalksgatan 1C,1195000,18700,2,2,64,2025-04-14,,Lägenhet,3570,,1195000,36
Flensburgsgatan 6B,1320000,26200,2,4,50,2025-04-14,,Lägenhet,3918,1939,1295000,36
Nordlinds väg 94C,2225000,42000,2,3,53,2025-04-14,,Lägenhet,4065,1954,2295000,36
Södra Bulltoftavägen 25,5725000,41500,6,1,138,2025-04-14,,Lägenhet,9320,1917,5795000,36
Törnskärsgången 9C,3025000,39300,3,3,77,2025-04-13,,Lägenhet,6221,1946,2995000,36
Nobelvägen 107B,2680000,34800,3,5,77,2025-04-13,,Lägenhet,5274,1955,2395000,36
Älggatan 47A,2250000,32100,3,3,70,2025-04-14,,Lägenhet,6119,1954,2295000,36
Mäster Henriksgatan 6,1725000,41100,1,2,42,2025-04-13,,Lägenhet,3724,1930,1795000,36
Kornettsgatan 22A,2000000,47600,2,1,42,2025-04-13,,Lägenhet,3056,1901,2195000,36
Södra Gulsparvsgatan 36,920000,15300,2,3,60,2025-04-12,,Lägenhet,4426,1966,795000,36
Lektorsgången 5B,1290000,14100,4,2,91,2025-04-13,,Lägenhet,6281,1963,1345000,36
Ormvråksgatan 1,1060000,22600,2,6,47,2025-04-13,,Lägenhet,3332,1970,1095000,36
Högatorpsvägen 35,2500000,20700,5,2,121,2025-04-12,,Lägenhet,6775,1967,2595000,36
Amiralsgatan 83B,1300000,25000,2,1,52,2025-04-12,,Lägenhet,4669,,1295000,36
Kiviksgatan 6A,1660000,30700,2,2,54,2025-04-12,,Lägenhet,4739,1945,1695000,36
Nobelvägen 147G,960000,18500,2,5,52,2025-04-12,,Lägenhet,4757,1938,995000,36
Södra Förstadsgatan 36B,2850000,48300,2,5,59,2025-04-12,,Lägenhet,1706,1912,2995000,36
Von Lingens väg 21,1135000,11100,4,3,102,2025-04-12,,Lägenhet,8329,1968,1195000,36
Albinsrogatan 47,2250000,26000,3,7,86,2025-04-11,,Lägenhet,5538,1966,2200000,36
Konsultgatan 6,2095000,25100,3,2,83,2025-04-11,,Lägenhet,6342,1972,2095000,36
Sallerupsvägen 26A,1570000,29300,2,5,53,2025-04-11,,Lägenhet,3932,1939,1595000,36
Torekovsgatan 19A,1315000,36500,1,2,36,2025-04-11,,Lägenhet,2898,1942,1195000,36
Sallys gata 41,2860000,48500,2,4,59,2025-04-11,,Lägenhet,4154,2013,2895000,36
Smedstorpsgatan 53,2250000,26800,3,1,84,2025-04-11,,Lägenhet,6636,1991,2395000,36
Lägatan 8A,7950000,63600,4,7,125,2025-04-11,,Lägenhet,7923,2018,7950000,37
Ellstorpsgatan 3C,995000,29300,1,1,34,2025-04-11,,Lägenhet,3396,1944,995000,37
Sofierogatan 3C,1375000,23900,2,4,57,2025-04-11,,Lägenhet,4121,1945,1395000,37
Solhöjdsgatan 9,1900000,54300,1,5,35,2025-04-11,,Lägenhet,3171,2022,1995000,37
Södra Förstadsgatan 121C,890000,23800,1,,37,2025-04-11,,Lägenhet,2537,1939,965000,37
Exercisgatan 2B,5575000,45700,4,2,122,2025-04-10,,Lägenhet,5676,1927,5495000,37
Soprangatan 20,1700000,18700,4,1,91,2025-04-10,,Lägenhet,7354,,1395000,37
Claesgatan 1,3500000,33000,4,5,106,2025-04-10,,Lägenhet,6243,1907,3395000,37
Repslagaregatan 9B,4920000,63900,3,1,77,2025-04-10,,Lägenhet,5479,1888,5095000,37
Karlskronaplan 9,3745000,41200,4,3,91,2025-04-10,,Lägenhet,7148,1936,3695000,37
Västra Stallmästaregatan 30D,2250000,38800,2,1,58,2025-04-10,,Lägenhet,3613,1945,2300000,37
Monbijougatan 24,7550000,73300,3,6,103,2025-04-10,,Lägenhet,6524,2012,7695000,37
Rödkullastigen 2C,765000,13200,2,2,58,2025-04-10,,Lägenhet,4528,1959,800000,37
Kronetorpsgatan 60B,930000,24500,1,7,38,2025-04-10,,Lägenhet,3107,1961,995000,37
Serenadgatan 70,850000,13200,2,2,64,2025-04-10,,Lägenhet,4120,1971,850000,37
Barlastgatan 28,4500000,53600,3,7,84,2025-04-10,,Lägenhet,5199,2020,4695000,37
Blåsebergavägen 27,3950000,42200,4,2,93,2025-04-10,,Lägenhet,5519,2022,4195000,37
Neptunigatan 55,10650000,92600,4,9,115,2025-04-10,,Lägenhet,8729,2023,10795000,37
Korsörvägen 14A,2100000,31300,2,1,67,2025-04-10,,Lägenhet,4542,1947,2195000,37
Packhusgatan 21B,1740000,39500,2,5,44,2025-04-10,,Lägenhet,3645,,1795000,37
Dammfrigången 4C,2025000,34300,2,1,59,2025-04-09,,Lägenhet,,,,37
Beritta Gurrisgatan 1B,3160000,45100,2,6,70,2025-04-09,,Lägenhet,5908,1985,3195000,37
Badvägen 12,2300000,28400,3,4,81,2025-04-09,,Lägenhet,6190,2007,2395000,37
Rosentorpsvägen 22,1830000,22600,3,1,81,2025-04-09,,Lägenhet,6472,2011,1845000,37
Eslövsgatan 9G,2900000,37200,2,4,78,2025-04-09,,Lägenhet,4725,1936,2995000,37
Stora Nygatan 15,2450000,54400,2,4,45,2025-04-09,,Lägenhet,2538,,2495000,37
Lugna gatan 37,4180000,37300,4,6,112,2025-04-09,,Lägenhet,6386,1977,3995000,37
Tornfalksgatan 2A,975000,21900,1,5,44,2025-04-09,,Lägenhet,2690,1964,975000,37
Ellstorpsgatan 1B,1775000,32900,2,6,54,2025-04-09,,Lägenhet,3528,1939,1795000,37
Erik Dahlbergsgatan 6,4700000,55400,3,1,84,2025-04-09,,Lägenhet,4926,1929,4795000,37
Älggatan 47C,1720000,32500,2,2,53,2025-04-09,,Lägenhet,4835,1953,1695000,37
Kalkstensvägen 11B,4700000,56000,3,2,84,2025-04-09,,Lägenhet,2765,2007,4895000,37
Västra Rönneholmsvägen 61,4175000,43900,3,2,95,2025-04-09,,Lägenhet,6016,1911,4250000,37
Vitemöllegatan 10G,1100000,25000,2,2,44,2025-04-09,,Lägenhet,4039,1946,1195000,37
Sankt Knuts Torg 4,3350000,49300,2,2,68,2025-04-09,,Lägenhet,5256,1928,3495000,37
Stora Trädgårdsgatan 6B,6495000,46700,5,4,139,2025-04-09,,Lägenhet,10573,2009,6495000,38
Uddeholmsgatan 36,870000,13500,3,2,64,2025-04-09,,Lägenhet,6233,1953,895000,38
Barlastgatan 53,3550000,45500,3,5,78,2025-04-09,,Lägenhet,5235,2011,3550000,38
Föreningsgatan 79A,1400000,35800,1,1,39,2025-04-09,,Lägenhet,2546,1928,1495000,38
Hyllie Boulevard 2G,1400000,36800,1,3,38,2025-04-09,,Lägenhet,2885,2021,1550000,38
Gustaf Rydbergsgatan 7,1250000,44600,1,3,28,2025-04-08,,Lägenhet,2037,1943,1195000,38
Sergels väg 5C,4300000,45300,4,2,95,2025-04-08,,Lägenhet,,,,38
Hyllie Allé 32B,1495000,38300,2,1,39,2025-04-08,,Lägenhet,3026,2020,1495000,38
Dammfrigången 4A,2145000,36400,2,3,59,2025-04-08,,Lägenhet,4810,1948,2145000,38
Munkgatan 3,3800000,47500,3,3,80,2025-04-08,,Lägenhet,5785,1929,3995000,38
Prinsgatan 8,950000,25000,1,3,38,2025-04-08,,Lägenhet,3376,1943,995000,38
Kvartettgatan 26,2000000,20600,4,1,97,2025-04-08,,Lägenhet,7073,1972,2095000,38
Mäster Nilsgatan 24,1995000,49900,1,2,40,2025-04-08,,Lägenhet,2507,1971,1995000,38
Vasagatan 16A,1550000,38800,2,2,40,2025-04-08,,Lägenhet,3072,1956,1575000,38
Helmfeltsgatan 12,3950000,41600,3,1,95,2025-04-08,,Lägenhet,4082,1946,4195000,38
Västra Rönneholmsvägen 53B,2500000,50000,2,3,50,2025-04-07,,Lägenhet,2941,1938,2395000,38
Tors gränd 25,1625000,41700,2,,39,2025-04-08,,Lägenhet,3425,2019,1650000,38
Slussgatan 12H,2475000,41300,2,3,60,2025-04-07,,Lägenhet,2822,1899,2400000,38
Lektorsgången 5A,830000,13000,2,8,64,2025-04-07,,Lägenhet,4356,1963,895000,38
Fiskehamnspromenaden 11B,5550000,71600,3,6,77,2025-04-07,,Lägenhet,3361,2015,4995000,38
Lägatan 11A,3650000,48700,3,4,75,2025-04-07,,Lägenhet,5324,2020,3595000,38
Nobelvägen 70A,1585000,25200,2,4,63,2025-04-07,,Lägenhet,4931,1935,1650000,38
Stora Trädgårdsgatan 3D,2900000,38200,3,3,76,2025-04-07,,Lägenhet,4022,1971,2595000,38
Ymers gata 23B,2100000,38200,2,1,55,2025-04-07,,Lägenhet,3456,2019,2050000,38
Argogatan 2,5625000,66600,3,2,84,2025-04-07,,Lägenhet,4804,2021,5495000,38
Sankt Knuts Torg 2,3000000,48600,2,3,61,2025-04-07,,Lägenhet,3890,1929,3095000,38
Krankajen 36,6495000,70600,3,4,92,2025-04-07,,Lägenhet,5546,2007,6495000,38
Västra Skrävlingevägen 108,1425000,24200,2,2,59,2025-04-07,,Lägenhet,3621,,1449000,38
Bomgatan 23A,3035000,55200,2,5,55,2025-04-07,,Lägenhet,4203,2020,3095000,38
Serenadgatan 11,1000000,10300,4,2,97,2025-04-07,,Lägenhet,7133,1971,1095000,38
Branteviksgatan 7A,1150000,19000,2,3,60,2025-04-07,,Lägenhet,4046,,1195000,38
Stadiongatan 49B,1340000,23500,2,4,57,2025-04-07,,Lägenhet,3847,1958,1375000,38
Serenadgatan 30,1225000,14900,3,9,82,2025-04-07,,Lägenhet,6399,1971,1245000,38
Kronborgsvägen 15A,1950000,33900,2,2,57,2025-04-07,,Lägenhet,5279,1949,1895000,38
Blekingsborgsgatan 3B,1495000,24100,2,4,62,2025-04-07,,Lägenhet,4598,1956,1595000,38
Lönngatan 60E,815000,24500,1,1,33,2025-04-07,,Lägenhet,2338,,795000,39
Idaborgsgatan 51,1900000,27100,3,2,70,2025-04-07,,Lägenhet,4232,1944,1945000,39
Spårvägen 16A,1795000,39900,2,3,45,2025-04-07,,Lägenhet,3875,2021,1795000,39
Mobäcksgatan 19,1240000,14900,4,2,83,2025-04-06,,Lägenhet,5847,1966,1295000,39
Kronborgsvägen 18A,1450000,33700,2,2,43,2025-04-07,,Lägenhet,4693,1947,1495000,39
Skomakarebyn 2A,2150000,19400,4,4,111,2025-04-06,,Lägenhet,10001,2006,2395000,39
Drottninggatan 1AC,2595000,44700,2,6,58,2025-04-05,,Lägenhet,4167,2019,2595000,39
Krapperupsgatan 25,1525000,50800,1,2,30,2025-04-06,,Lägenhet,2281,2009,1559000,39
Kalkstensvägen 10,2150000,39800,2,2,54,2025-04-05,,Lägenhet,3527,2017,2100000,39
Solvändegatan 3A,800000,14200,2,1,56,2025-04-05,,Lägenhet,4445,1959,799000,39
Erikstorpsgatan 18,3650000,44000,3,1,83,2025-04-04,,Lägenhet,4922,1935,3550000,39
Eslövsgatan 9G,2100000,39600,2,3,53,2025-04-05,,Lägenhet,3298,1936,2150000,39
Maribogatan 1A,3250000,47800,3,4,68,2025-04-04,,Lägenhet,5488,1944,3295000,39
Holmgatan 9,4095000,65100,2,3,62,2025-04-05,,Lägenhet,1805,,4095000,39
Rörsjögatan 2,5250000,48600,3,3,108,2025-04-04,,Lägenhet,2876,1992,4995000,39
Stadiongatan 49B,2200000,25600,3,6,86,2025-04-04,,Lägenhet,5643,1958,2295000,39
Jägersrovägen 16B,650000,16500,1,4,39,2025-04-04,,Lägenhet,3380,1955,595000,39
Fågelbacksgatan 16,4425000,47100,4,2,94,2025-04-04,,Lägenhet,,,,39
Köpenhamnsvägen 42C,4525000,43900,5,5,103,2025-04-04,,Lägenhet,6704,1952,4395000,39
Simmaregatan 3B,3400000,47200,2,2,72,2025-04-04,,Lägenhet,5633,2006,3450000,39
Rådmansgatan 14,4600000,54100,3,9,85,2025-04-04,,Lägenhet,5110,2012,4495000,39
Örsholmsgången 6B,2950000,38300,3,2,77,2025-04-04,,Lägenhet,,,,39
Sergels väg 14B,2450000,43800,2,6,56,2025-04-04,,Lägenhet,4394,1956,2595000,39
Grönalundsgatan 13C,1550000,26700,2,4,58,2025-04-04,,Lägenhet,4484,1954,1595000,39
Sallerupsvägen 32K,1075000,22400,2,4,48,2025-04-04,,Lägenhet,3781,1942,1095000,39
Lilla Varvsgatan 25B,2750000,50000,3,2,55,2025-04-04,,Lägenhet,4109,2020,2750000,39
Ehrensvärdsgatan 13B,3300000,43400,3,3,76,2025-04-04,,Lägenhet,4576,1924,2995000,39
Föreningsgatan 47B,5800000,42000,4,3,138,2025-04-04,,Lägenhet,9342,,5795000,39
Ormvråksgatan 22,1900000,21500,3,4,88,2025-04-04,,Lägenhet,5050,1967,1995000,39
Idrottsgatan 16A,1450000,41200,2,1,35,2025-04-04,,Lägenhet,1930,1937,1495000,39
Lägatan 17,4550000,48900,4,3,93,2025-04-04,,Lägenhet,5239,2018,4495000,39
Hyllie Allé 6A,2650000,37900,2,6,70,2025-04-03,,Lägenhet,5231,2018,2695000,39
Sufflörgatan 11,1575000,24400,2,1,64,2025-04-04,,Lägenhet,4055,1972,1595000,39
Vitemöllegatan 8B,1350000,27700,2,4,48,2025-04-03,,Lägenhet,3395,1947,1325000,39
Simrishamnsgatan 38,4350000,47800,4,2,91,2025-04-03,,Lägenhet,7205,1932,3995000,39
Vitemöllegatan 7A,1675000,32200,2,4,52,2025-04-03,,Lägenhet,3841,1946,1545000,40
Grynbodgatan 6B,5950000,70000,3,4,85,2025-04-03,,Lägenhet,5493,1912,5895000,40
Eriksrogatan 1A,2100000,45700,2,2,46,2025-04-03,,Lägenhet,4200,1938,2100000,40
Sorgenfrivägen 23B,1200000,27300,1,1,44,2025-04-03,,Lägenhet,3283,1935,1295000,40
Solters Plan 1E,3210000,46800,3,1,68,2025-04-03,,Lägenhet,4711,1939,3195000,40
Tornfalksgatan 8B,1350000,22100,2,2,61,2025-04-03,,Lägenhet,3474,1965,1395000,40
Sankt Knuts väg 2B,3550000,44900,3,5,79,2025-04-03,,Lägenhet,6261,,3495000,40
Korsörvägen 15B,2295000,34500,3,3,66,2025-04-03,,Lägenhet,5644,1946,2295000,40
Solters Plan 1B,1350000,57700,1,3,23,2025-04-03,,Lägenhet,1504,1939,1350000,40
Bergsgatan 7,4100000,32000,5,2,128,2025-04-03,,Lägenhet,7600,1907,4495000,40
Lönnebergagatan 65,2400000,29600,3,1,81,2025-04-03,,Lägenhet,5799,,2495000,40
Tornfalksgatan 2B,1650000,19900,3,7,83,2025-04-03,,Lägenhet,4724,1964,1695000,40
Köpenhamnsvägen 9A,3400000,39300,3,5,86,2025-04-03,,Lägenhet,7484,1954,3595000,40
Vendelsfridsgatan 6B,1150000,42600,1,15,27,2025-04-03,,Lägenhet,2239,1959,1150000,40
Stora Nygatan 24,1400000,52800,1,1,26,2025-04-03,,Lägenhet,2015,1963,1450000,40
Blåsebergavägen 25,3595000,45800,3,3,78,2025-04-03,,Lägenhet,4553,2023,3595000,40
Roslins väg 4,5260000,50600,4,5,104,2025-04-03,,Lägenhet,5985,1935,4995000,40
Blåsebergavägen 7,2000000,35700,2,1,56,2025-04-03,,Lägenhet,3879,2016,2095000,40
Bergsgatan 2B,2275000,36100,2,,63,2025-04-03,,Lägenhet,,,,40
Sofielundsvägen 23D,2750000,35700,3,3,77,2025-04-03,,Lägenhet,4849,1964,2850000,40
Linoljegatan 9,2150000,42200,2,4,51,2025-04-03,,Lägenhet,4357,2018,2195000,40
Mellangatan 4A,1600000,30800,2,3,52,2025-04-03,,Lägenhet,5192,1929,1645000,40
Formgatan 18B,4900000,39500,5,1,124,2025-04-03,,Lägenhet,7479,,4995000,40
Fernissagatan 10,1785000,40600,1,2,44,2025-04-03,,Lägenhet,3836,2018,1795000,40
Beritta Gurrisgatan 3D,3850000,45000,3,6,85,2025-04-02,,Lägenhet,6731,1985,3575000,40
Sundholmsgatan 4,6050000,62100,3,10,97,2025-04-02,,Lägenhet,6088,2011,5895000,40
Arkitektgatan 15,1995000,23600,3,3,84,2025-04-02,,Lägenhet,5699,1967,1995000,40
Sankt Knuts väg 4A,2300000,46000,2,2,50,2025-04-02,,Lägenhet,2902,1929,2395000,40
Lägatan 4,3895000,52600,3,5,74,2025-04-02,,Lägenhet,5398,2018,3895000,40
Fylkinggatan 25D,1610000,28000,2,3,57,2025-04-02,,Lägenhet,3650,1960,1495000,40
Signalgatan 4,3650000,44500,3,3,82,2025-04-02,,Lägenhet,6735,2008,3650000,40
Kronetorpsgatan 44A,1175000,20100,2,2,58,2025-04-02,,Lägenhet,4741,1960,1250000,40
Eriksfältsgatan 83B,770000,13500,2,1,57,2025-04-02,,Lägenhet,3203,1962,850000,40
Lilla Varvsgatan 13F,4000000,52600,3,2,76,2025-04-02,,Lägenhet,4784,2021,4075000,40
Tornfalksgatan 10A,2181000,23000,4,1,95,2025-04-02,,Lägenhet,5274,1964,2095000,40
Mariedalsvägen 44,3620000,52500,2,4,69,2025-04-01,,Lägenhet,4370,1911,3195000,41
Herrestadsgatan 3B,4250000,38300,4,4,111,2025-04-02,,Lägenhet,8986,1949,4395000,41
Bangatan 4D,2400000,33300,3,8,72,2025-04-01,,Lägenhet,4639,,1995000,41
Duvhöksgatan 2A,1050000,18300,2,8,57,2025-04-01,,Lägenhet,3636,1962,1050000,41
Regementsgatan 27F,2850000,47500,2,5,60,2025-04-01,,Lägenhet,4676,1945,2850000,41
Vitemöllegatan 3C,1420000,29200,2,4,48,2025-04-01,,Lägenhet,3498,1947,1395000,41
Isbergs gata 4,1840000,51100,1,3,36,2025-04-01,,Lägenhet,2122,2011,1895000,41
Sundspromenaden 39,5500000,65700,3,3,83,2025-04-01,,Lägenhet,8520,2001,5295000,41
Konduktörsgatan 9,1400000,35000,1,2,40,2025-04-01,,Lägenhet,3279,2018,1595000,41
Lovartsgatan 5,4000000,54800,3,5,73,2025-04-01,,Lägenhet,5355,2019,4095000,41
Majorsgatan 8,2900000,40300,3,5,72,2025-04-01,,Lägenhet,4644,1983,3195000,41
Von Lingens väg 23,1400000,16800,4,1,83,2025-04-01,,Lägenhet,6299,1969,1295000,41
Fredriksbergsgatan 4,2150000,31200,2,1,69,2025-04-01,,Lägenhet,3928,1907,2295000,41
Eriksdalsgatan 7B,1495000,25300,2,6,59,2025-04-01,,Lägenhet,3966,1961,1495000,41
Sufflörgatan 15,2325000,29400,3,2,79,2025-04-01,,Lägenhet,4777,1972,2350000,41
Drottninggatan 6B,1000000,34500,1,2,29,2025-03-31,,Lägenhet,,,,41
Möllevångstorget 3A,2400000,68600,1,4,35,2025-03-31,,Lägenhet,3516,,2295000,41
Västanväg 59C,1635000,27900,2,1,58,2025-04-01,,Lägenhet,3993,1949,1695000,41
Södra Gulsparvsgatan 26D,1475000,17200,3,6,86,2025-03-31,,Lägenhet,4787,1964,1450000,41
Sankt Knuts väg 2B,3600000,48600,3,2,74,2025-03-31,,Lägenhet,5937,1930,3495000,41
Trelleborgsgatan 4B,1520000,47500,2,5,32,2025-03-31,,Lägenhet,2470,,1495000,41
Sankt Knuts Torg 2,3000000,48600,2,4,61,2025-03-31,,Lägenhet,3890,1929,3095000,41
Hyllie Vattenparksgata 33,3430000,38100,3,4,90,2025-03-31,,Lägenhet,5489,2016,3495000,41
Hjulhamnsgatan 8,3295000,59900,2,3,55,2025-03-31,,Lägenhet,4209,2008,3295000,41
Per Albin Hanssons väg 56B,1200000,22200,2,4,54,2025-03-31,,Lägenhet,4572,1957,1245000,41
Geijersgatan 2D,2100000,43800,2,6,48,2025-03-31,,Lägenhet,4382,2022,2195000,41
Nobelvägen 6A,2150000,29500,3,3,73,2025-03-31,,Lägenhet,3153,1937,2195000,41
Husargatan 8,4500000,52300,3,4,86,2025-03-31,,Lägenhet,5409,1909,4695000,41
Mor Marnas väg 96,1550000,39700,2,1,39,2025-03-31,,Lägenhet,2812,1910,1575000,41
Jespersgatan 14D,725000,17900,1,3,40,2025-03-31,,Lägenhet,4389,1938,725000,41
Lilla Varvsgatan 15,3700000,52100,3,3,71,2025-03-31,,Lägenhet,4773,2016,3895000,41
Serenadgatan 24,790000,12300,2,11,64,2025-03-31,,Lägenhet,5269,1971,825000,41
Östra Ryttmästaregatan 5,1400000,37800,1,1,37,2025-03-31,,Lägenhet,2781,1931,1495000,41
Stadiongatan 51B,1370000,24000,2,7,57,2025-03-31,,Lägenhet,3930,,1395000,41
Carlsgatan 35,3350000,50400,3,10,66,2025-03-31,,Lägenhet,4889,2024,3595000,41
Ahrenbergsgatan 8,2245000,30800,3,4,73,2025-03-31,,Lägenhet,6616,2019,2295000,42
Havrefältsgatan 2A,2050000,38000,3,4,54,2025-03-31,,Lägenhet,4299,2024,2050000,42
Vitemöllegatan 4G,1095000,25500,2,3,43,2025-03-31,,Lägenhet,3973,1944,1095000,42
Östra Varvsgatan 5B,2785000,45700,2,3,61,2025-03-30,,Lägenhet,3821,,2875000,42
Carl Flormansgatan 19,1675000,31600,2,2,53,2025-03-30,,Lägenhet,4423,2017,1695000,42
Banérsgatan 8,4650000,48900,3,2,95,2025-03-29,,Lägenhet,5868,1936,4745000,42
Lönngatan 44C,775000,16500,2,3,47,2025-03-29,,Lägenhet,3488,1935,895000,42
Formgatan 25,3250000,41400,3,2,78,2025-03-29,,Lägenhet,4900,2020,3295000,42
Aktrisgatan 12,1850000,23600,3,6,78,2025-03-29,,Lägenhet,4885,1972,1995000,42
Per Wickenbergsgatan 3,2400000,54500,2,3,44,2025-03-28,,Lägenhet,3139,,2295000,42
Pilåkersvägen 7A,1995000,34400,2,3,58,2025-03-28,,Lägenhet,4897,1951,1995000,42
Östra Promenaden 9A,1700000,28600,2,1,59,2025-03-28,,Lägenhet,3664,1987,1695000,42
Henrik Wranérsgatan 1B,2750000,46600,2,7,59,2025-03-28,,Lägenhet,4109,1962,2850000,42
Bergsgatan 15B,2650000,44200,2,3,60,2025-03-28,,Lägenhet,3794,1929,2695000,42
Lilla Varvsgatan 21A,4450000,51700,4,6,86,2025-03-28,,Lägenhet,5272,2018,4450000,42
Carl Herslowsgatan 9C,4400000,44000,4,2,100,2025-03-28,,Lägenhet,6572,1945,4495000,42
Oxievångsvägen 284,2550000,24800,3,,103,2025-03-28,,Lägenhet,5074,1980,2595000,42
Kronetorpsgatan 50B,1280000,18200,3,2,70,2025-03-28,,Lägenhet,5622,,1345000,42
Idrottsgatan 19C,2495000,32000,3,1,78,2025-03-28,,Lägenhet,4797,1991,2495000,42
Brogatan 13,3825000,35100,4,3,109,2025-03-28,,Lägenhet,8654,1909,3795000,42
Gibraltargatan 1C,4995000,64500,3,4,77,2025-03-28,,Lägenhet,3361,2015,4995000,42
Eslövsgatan 7,1960000,39200,2,3,50,2025-03-28,,Lägenhet,4974,1937,2095000,42
Sufflörgatan 11,2150000,27400,3,1,78,2025-03-28,,Lägenhet,4722,,1995000,42
Nicoloviusgatan 5A,4715000,48100,3,4,98,2025-03-28,,Lägenhet,5023,1959,4695000,42
Tessins väg 8B,2495000,42300,2,3,59,2025-03-28,,Lägenhet,5168,1956,2495000,42
Harvgränd 4,2195000,36600,2,4,60,2025-03-27,,Lägenhet,4587,,2195000,42
Västra Rönneholmsvägen 55D,2610000,52200,2,4,50,2025-03-28,,Lägenhet,2941,1938,2495000,42
Köpenhamnsvägen 63A,5200000,64200,4,,81,2025-03-27,,Lägenhet,6142,1948,5095000,42
Serenadgatan 53,1000000,12300,3,3,81,2025-03-27,,Lägenhet,4978,1971,1095000,42
Serenadgatan 33,950000,15200,2,5,62,2025-03-27,,Lägenhet,4022,1971,950000,42
Pysslinggatan 28,2200000,27500,3,1,80,2025-03-27,,Lägenhet,5574,1993,2095000,42
Sandbackegången 3A,875000,23000,1,3,38,2025-03-27,,Lägenhet,3737,1946,895000,42
Solters Plan 1C,2695000,41700,2,1,64,2025-03-27,,Lägenhet,4151,1939,2695000,42
Kapellgatan 16,1995000,46700,2,3,42,2025-03-27,,Lägenhet,3226,1929,1995000,42
Köpenhamnsvägen 5B,1450000,36300,1,4,40,2025-03-27,,Lägenhet,3413,1946,1495000,42
Mobäcksgatan 25,1795000,14500,5,1,124,2025-03-27,,Lägenhet,8479,1966,1795000,43
Spånehusvägen 62E,1575000,26700,2,4,59,2025-03-27,,Lägenhet,4762,1953,1495000,43
Vitemöllegatan 16B,1150000,21700,2,4,53,2025-03-27,,Lägenhet,4085,1954,1195000,43
Lugna gatan 37,3495000,30900,4,2,113,2025-03-27,,Lägenhet,6261,1977,3495000,43
Kastellgatan 13,2995000,59900,2,5,50,2025-03-27,,Lägenhet,3495,1930,2995000,43
Humlegatan 8,3170000,43000,2,3,73,2025-03-27,,Lägenhet,5047,1981,3295000,43
Sofielundsvägen 46,1650000,36300,2,1,45,2025-03-27,,Lägenhet,,,,43
Saarisvägen 1B,1235000,21700,2,3,57,2025-03-27,,Lägenhet,5301,1939,1275000,43
Ingenjörsgatan 14,3750000,28600,5,5,131,2025-03-27,,Lägenhet,7575,,3795000,43
Hyllie Allé 4,1700000,40500,2,2,42,2025-03-27,,Lägenhet,3500,2018,1745000,43
Baskemöllegatan 7B,1355000,26100,2,1,52,2025-03-27,,Lägenhet,3963,1947,1395000,43
Vårgatan 13,1150000,26700,1,4,43,2025-03-27,,Lägenhet,3522,1938,1195000,43
Kristianstadsgatan 20,2380000,30900,3,1,77,2025-03-27,,Lägenhet,7514,1932,2495000,43
Tulpangatan 15,1355000,16700,3,2,81,2025-03-27,,Lägenhet,5439,1973,1395000,43
Carlsgatan 31,3870000,45300,3,5,85,2025-03-27,,Lägenhet,5927,2024,3995000,43
Birger Jarlsgatan 32B,1700000,33000,2,2,51,2025-03-27,,Lägenhet,3900,1956,1795000,43
Roskildevägen 13A,3715000,45300,3,3,82,2025-03-26,,Lägenhet,,,,43
