address,price,pris_per_kvm,rum,van,kvm,date,kvm_tomt,housing_type
Exercisgatan 2A,3950000,36200,3,5,109,2025-06-30,,Lägenhet
Bertil Muhrs gata 34,2450000,,,,,2025-06-30,469,Tomt/mark
Köpenhamnsvägen 13A,3950000,45700,4,6,86,2025-06-30,,Lägenhet
Fersens väg 12,3175000,62300,2,3,51,2025-06-30,,Lägenhet
Sallerupsvägen 4,2695000,33300,3,5,81,2025-06-30,,Lägenhet
Lotsgatan 220,4825000,38100,5,,126,2025-06-30,,Lägenhet
Broddagatan 45,4750000,46600,4,,102,2025-06-30,340,Kedjehus
Mäster Danielsgatan 3,2550000,33100,3,3,77,2025-06-30,,Lägenhet
Köpenhamnsvägen 34B,1630000,29400,2,2,55,2025-06-30,,Lägenhet
Albinsrogatan 41,1673000,28400,2,8,59,2025-06-30,,Lägenhet
Solhöjdsgatan 19,4350000,53000,3,6,82,2025-06-30,,Lägenhet
Mellanhedsgatan 22A,1237500,45800,1,1,27,2025-06-30,,Lägenhet
Ängdalavägen 30,2405000,40100,2,2,60,2025-06-30,,Lägenhet
Hyllie Allé 32B,2800000,36800,3,3,76,2025-06-30,,Lägenhet
Ahrenbergsgatan 10,2160000,30900,3,2,70,2025-06-30,,Lägenhet
Stora Kvarngatan 16,4600000,35700,5,2,129,2025-06-29,,Lägenhet
Sibbarpsvägen 45A,5500000,61100,4,,90,2025-06-29,361,Kedjehus
Västanväg 43C,1425000,30300,1,3,47,2025-06-29,,Lägenhet
Norra Bulltoftavägen 45A,1710000,25500,3,2,67,2025-06-29,,Lägenhet
Rantzowgatan 9C,1175000,23300,2,2,50,2025-06-29,,Lägenhet
Sankt Knuts väg 6A,1850000,44300,2,1,41,2025-06-29,,Lägenhet
Lilla Varvsgatan 19A,2400000,47100,2,3,51,2025-06-29,,Lägenhet
Norra Tennisgränd 4,2890000,37100,3,1,78,2025-06-28,,Lägenhet
Kronetorpsgatan 98C,1425000,16600,4,1,86,2025-06-28,,Lägenhet
Blekingsborgsgatan 11,1295000,24400,2,3,53,2025-06-28,,Lägenhet
Henrik Wranérsgatan 1C,2895000,42600,2,4,68,2025-06-28,,Lägenhet
Roskildevägen 31B,1900000,37600,2,2,50,2025-06-28,,Lägenhet
Ingenjörsgatan 6,3050000,29500,4,6,103,2025-06-28,,Lägenhet
Regementsgatan 56A,2250000,44600,2,5,50,2025-06-28,,Lägenhet
Kapellplan 1,2495000,38400,2,1,65,2025-06-28,,Lägenhet
Falsterbogatan 20,2195000,34300,2,4,64,2025-06-28,,Lägenhet
Nicoloviusgatan 8B,8375000,63400,6,6,132,2025-06-27,,Lägenhet
Granviksgatan 170,3905000,33700,5,,116,2025-06-27,267,Kedjehus
Sergels väg 12B,7545000,51300,5,3,147,2025-06-27,,Lägenhet
Barlastgatan 4,2295000,45000,2,5,51,2025-06-27,,Lägenhet
Östra Stationsgatan 39,1645000,23800,2,,69,2025-06-27,,Radhus
Östra Rönneholmsvägen 6B,7995000,41600,6,2,192,2025-06-27,,Lägenhet
Friggs gränd 4,3800000,39200,4,4,97,2025-06-27,,Lägenhet
Thottsgatan 16A,4650000,65500,2,4,71,2025-06-27,,Lägenhet
Vendelsfridsgatan 4E,1815000,22300,4,4,81,2025-06-27,,Lägenhet
Lugna gatan 50,3225000,41900,3,7,77,2025-06-27,,Lägenhet
Kaprifolgatan 8,3495000,31800,,,110,2025-06-27,700,Villa
Spårvägen 28A,1495000,40400,1,4,37,2025-06-27,,Lägenhet
Aktrisgatan 20,1695000,21600,3,4,78,2025-06-27,,Lägenhet
Eslövsgatan 9G,1995000,38400,2,2,52,2025-06-27,,Lägenhet
Saarisvägen 14A,700000,21200,1,5,33,2025-06-27,,Lägenhet
Föreningsgatan 65A,4000000,37000,3,1,108,2025-06-27,,Lägenhet
Hjorttackegatan 1,4200000,64600,2,2,65,2025-06-27,,Lägenhet
Lagmansgatan 3C,1795000,30400,2,1,59,2025-06-27,,Lägenhet
Solvändegatan 5C,930000,16000,2,1,58,2025-06-27,,Lägenhet
Erikslustvägen 42J,2300000,34800,3,2,66,2025-06-27,,Lägenhet
Per Albin Hanssons väg 56B,1450000,19500,3,9,74,2025-06-26,,Lägenhet
Krapperupsgatan 29,7995000,53300,6,,150,2025-06-26,670,Villa
Tyelsevägen 53,7100000,42500,5,,167,2025-06-26,634,Villa
Garagegatan 9,8000000,50000,7,,160,2025-06-26,,Radhus
Havsnejlikegatan 6,6525000,48300,6,,135,2025-06-26,377,Kedjehus
Köpmansgatan 14,650000,9800,2,4,66,2025-06-26,,Lägenhet
Västanväg 47A,1100000,22000,1,2,50,2025-06-26,,Lägenhet
Sofierogatan 4D,1450000,27400,2,3,53,2025-06-26,,Lägenhet
Törnskärsgatan 2A,2400000,48000,2,4,50,2025-06-26,,Lägenhet
